Mu (0),N (revs),I (A),L (m),R (m),z (m),Magnetic Field (Measured) (mT),Magnetic Field (Measured) (T),Magnetic Field (Lab Manual Theoretical) (T),Magnetic Field (Textbook Theoretical) (T),Relative Error (Lab Manual),Relative Error (Textbook)
4.976339632,400.0,0.3,0.04,0.016,0.0,3.17,0.00317,0.004712388980384691,0.0029438060581963585,32.73051071982558,7.683724312403529
4.976339632,400.0,0.3,0.04,0.016,0.01,1.682,0.001682,0.002873598463409246,0.002662220576518629,41.46711792139289,36.81966044302979
4.976339632,400.0,0.3,0.04,0.016,0.02,0.939,0.000939,0.0011488023641741888,0.0017501373306686952,18.26270303029924,46.34706753890991
4.976339632,400.0,0.3,0.04,0.016,0.03,0.431,0.000431,0.000491093661297977,0.0007962527565711317,12.236700660958945,45.87145897541424
4.976339632,400.0,0.3,0.04,0.016,0.04,0.232,0.000232,0.00024139825250602692,0.0003494069236376525,3.8932562305074163,33.60177366130491
4.976339632,400.0,0.3,0.04,0.016,0.05,0.131,0.000131,0.00013340811870119954,0.00017436888279740922,1.8050765760314058,24.87191642318281
4.976339632,400.0,0.3,0.04,0.016,0.06,0.095,9.5e-05,8.061122889010597e-05,9.821369753293071e-05,17.849586599789546,3.2721479932604756
4.976339632,400.0,0.3,0.04,0.016,0.07,0.075,7.5e-05,5.213528076487672e-05,6.0579382510336784e-05,43.85651884803336,23.804497325806498
4.976339632,400.0,0.3,0.04,0.016,0.08,0.069,6.900000000000001e-05,3.55452120808005e-05,3.9971788315518895e-05,94.11897119406945,72.6217487577633
